     X (m)          Y (m)        Depth (m)
==============================================
     38.1939       82.1305      -38.2000 
     46.1960       82.1651      -38.1763 
     54.2158       82.1285      -37.6803 
     66.3550       82.0937      -37.4463 
     82.2440       78.1773      -37.5693 
     40.2147       82.1752      -38.3550 
     42.3070       82.1664      -38.3828 
     44.4019       82.2144      -38.3323 
     48.2083       82.0681      -38.0407 
     34.3360       84.1344      -38.0649 
     64.2888       84.1114      -37.7685 
     32.2705       86.1574      -38.0069 
     30.2941       88.0680      -37.9970 
     86.3202       78.1322      -37.4924 
     90.2337       78.1368      -37.5263 
     50.3084       82.2003      -37.9503 
     60.2958       82.1169      -37.4445 
     62.2530       82.0778      -37.4690 
     36.2837       84.1443      -38.3718 
     58.3121       84.1945      -37.9748 
     60.2850       84.1485      -37.8244 
     28.2365       88.1179      -37.7564 
     26.2306       90.1438      -37.7824 
     80.2310       78.1690      -37.6664 
     88.2141       78.0956      -37.5265 
     44.3733       80.1944      -37.8798 
     74.3222       80.2135      -37.7367 
     80.2257       80.1851      -38.0073 
     82.2219       80.2185      -37.9920 
     84.3111       80.1255      -37.9040 
     86.3284       80.1982      -37.9163 
     36.3128       82.1466      -37.9988 
     52.2918       82.1182      -37.7981 
     58.2575       82.1601      -37.6311 
     64.2477       82.0880      -37.4422 
     68.2696       82.1867      -37.6581 
     70.2170       82.1744      -37.7012 
     52.2160       84.1364      -38.0894 
     56.2728       84.1835      -38.0375 
     62.1865       84.1352      -37.7560 
     66.2831       84.1916      -37.8404 
     28.2947       90.0853      -37.9959 
     30.2537       90.1883      -38.2693 
     84.2241       76.0635      -37.2756 
     76.3528       78.1270      -37.6516 
     84.2735       78.0637      -37.5721 
     42.2784       80.0888      -37.9694 
     72.2640       80.1163      -37.6197 
     76.2446       80.1613      -37.9297 
     78.2738       80.2027      -38.0191 
     88.1773       80.1250      -37.8283 
     56.2408       82.1385      -37.6841 
     72.2661       82.1233      -37.8515 
     32.1867       84.2163      -37.8080 
     38.2239       84.1519      -38.5752 
     48.2782       84.1597      -38.3552 
     54.2323       84.1359      -38.0353 
     34.4021       86.2059      -38.4044 
     32.3036       88.1248      -38.2898 
     24.2133       90.1034      -37.6413 
     46.2224       22.1513      -38.3828 
     10.4058       74.1277      -38.3181 
     38.2034       80.1398      -37.8948 
     40.2133       80.0309      -37.9289 
     90.2617       80.1439      -37.8529 
     88.2115       82.1506      -38.0626 
     90.2224       82.1060      -37.9978 
     40.2738       84.1453      -38.5982 
     42.3552       84.1832      -38.6932 
     46.1360       84.1580      -38.5666 
     50.3736       84.1597      -38.2072 
     68.2596       84.1657      -37.8643 
     62.2429       86.1785      -37.9742 
     64.2545       86.0869      -37.9088 
     10.3240       10.1404      -38.6658 
     40.2110       22.1974      -38.3957 
     42.3364       22.1454      -38.3102 
     68.2379       66.1615      -37.8267 
     12.2394       74.1594      -38.4152 
     88.2166       76.0912      -37.1891 
     78.2096       78.1727      -37.7016 
     48.2111       79.9862      -37.6620 
     50.3052       80.1102      -37.6208 
     52.3420       80.0781      -37.5905 
     70.2106       80.0748      -37.4451 
     34.2962       82.0676      -37.8759 
     82.2058       82.1082      -38.0663 
     44.2930       84.1735      -38.5966 
     70.2520       84.1631      -37.8804 
     24.2056       86.0843      -37.8486 
     36.2323       86.1284      -38.5634 
     48.2769       86.1446      -38.3932 
     60.2487       86.1450      -37.9693 
     82.3040       86.1156      -37.8030 
     22.2311       88.1867      -37.7969 
     34.2942       88.1576      -38.4177 
     54.2572       88.1519      -38.0811 
     58.2599       88.1290      -37.9656 
     80.2590       88.1293      -37.6194 
     84.1898       88.1163      -37.6397 
     22.2149       90.1307      -37.6395 
     32.3256       90.1554      -38.3157 
     52.2436       90.1610      -37.9826 
     62.2417       90.1196      -37.7727 
     64.3492       90.1412      -37.7054 
     80.2806       90.1525      -37.4696 
     82.2975       90.1975      -37.3975 
     12.2620       10.1139      -38.6011 
     42.2634       12.0852      -39.1160 
     56.2896       12.1200      -39.2478 
     70.2512       14.1862      -39.0191 
     82.3027       14.1485      -39.1312 
     42.2357       16.1301      -38.9482 
     48.2581       22.1650      -38.2319 
     54.2869       22.1157      -38.2967 
     56.2217       22.1172      -38.3108 
     58.1553       22.1469      -38.2886 
     60.2794       22.0744      -38.3794 
     64.3133       22.0605      -38.3076 
     66.1525       22.0570      -38.2377 
     28.2683       24.1486      -38.5002 
     32.2750       24.2115      -38.2954 
     12.2333       72.1482      -38.0604 
     16.1934       72.1404      -38.1951 
     18.1942       72.0721      -38.2674 
     22.3318       72.1918      -38.4589 
     14.2576       74.1072      -38.4047 
     90.1977       76.0007      -37.1379 
     56.2743       80.0851      -37.4707 
     68.3479       80.1611      -37.4273 
     74.2914       82.1770      -37.9300 
     76.2785       82.1331      -38.1272 
     78.2560       82.1580      -38.0869 
     82.2058       82.1082      -38.0663 
     84.2973       82.1733      -38.0569 
     86.2197       82.1599      -38.0709 
     86.2134       84.1154      -38.0362 
     38.2470       86.1867      -38.5735 
     50.3352       86.1081      -38.2552 
     52.1914       86.0968      -38.1252 
     54.2484       86.1432      -38.1265 
     56.2622       86.0876      -38.1386 
     58.2476       86.1527      -38.0608 
     66.3274       86.1815      -37.8806 
     68.1809       86.1254      -37.8507 
     78.2587       86.1295      -37.7822 
     88.2581       86.1154      -37.9344 
     22.2311       88.1867      -37.7969 
     36.1985       88.0832      -38.5098 
     38.2477       88.1455      -38.4681 
     46.2784       88.1480      -38.3180 
     50.2377       88.0924      -38.1778 
     52.2109       88.1629      -38.0900 
     56.2843       88.1386      -38.0810 
     60.2588       88.1724      -37.9013 
     62.2125       88.0907      -37.8958 
     66.2404       88.1573      -37.8086 
     68.2043       88.1058      -37.7642 
     86.2149       88.0947      -37.7467 
     20.2830       90.1062      -37.6250 
     34.2862       90.1209      -38.3524 
     38.2516       90.1572      -38.2993 
     40.3004       90.2040      -38.2333 
     46.2943       90.1295      -38.1642 
     64.3492       90.1412      -37.7054 
     66.1685       90.1306      -37.6637 
     68.2038       90.1199      -37.6419 
     72.2590       90.1242      -37.4713 
     74.2850       90.1913      -37.4652 
     78.2489       90.1119      -37.3820 
     86.2049       90.1314      -37.5457 
     16.3172       10.1971      -38.5275 
     20.1655       10.1554      -38.4924 
     50.2103       10.1135      -39.2753 
     54.2886       10.1652      -39.2964 
     56.1563       10.1563      -39.2531 
     60.3353       10.2083      -39.2732 
     64.2141       10.1518      -39.2600 
     72.2315       10.0890      -39.1305 
     78.1635       10.0029      -39.2893 
     66.3121       12.1488      -39.1460 
     72.2954       12.0890      -39.0806 
     74.3384       12.0676      -39.0707 
     76.2507       12.1581      -39.1682 
     78.2815       12.0955      -39.2070 
     44.2935       14.0898      -39.1094 
     46.2531       14.1062      -39.1141 
     52.2466       14.1698      -39.0496 
     54.2056       14.2393      -39.0136 
     56.2755       14.1211      -39.1027 
     58.2704       14.1488      -39.1426 
     60.1968       14.1771      -39.1302 
     62.2306       14.0804      -39.0888 
     64.3139       14.1069      -39.0214 
     78.2644       14.1151      -39.0748 
     80.2557       14.1799      -39.1300 
     32.2812       16.1706      -39.0513 
     48.2920       16.1212      -39.0207 
     58.2675       16.1805      -38.9134 
